,worker_id,num_of_hist
0,A3GUJ6JD25FX7O,7
1,A33B85TN97HQ33,17
2,A37CE37LHUN8M6,11
3,A2HTN7HCNBQ8V4,4
4,A2UF2FRGVW4T89,10
5,AOBTFLJU2BEPR,9
6,A2OW2CIT4H7364,13
7,A33B85TN97HQ33,17
8,A2CLSASUR08Z0O,3
9,ARYYSG1HT2UDX,14
10,A2UF2FRGVW4T89,10
11,ARYYSG1HT2UDX,14
12,AP4903X7HCNBA,8
13,A15XX0WDRG29E7,1
14,ARYYSG1HT2UDX,14
15,AP4903X7HCNBA,8
16,A1FGKIKJYSL1MI,3
17,A1DSBBRZR3LWXP,1
18,A33B85TN97HQ33,17
19,A277V4SHQB8JRS,1
20,AP4903X7HCNBA,8
21,A1AZV2XOQK7RSW,1
22,A2UF2FRGVW4T89,10
23,A20I3A6VWC2T5C,28
24,AOBTFLJU2BEPR,9
25,ARYYSG1HT2UDX,14
26,A2UF2FRGVW4T89,10
27,A1FGKIKJYSL1MI,3
28,A3GS6QRW0NDZV9,1
29,A3RS7UCO7CQ74R,5
30,A3T6Q7YJQXYZ2Z,1
31,A20I3A6VWC2T5C,28
32,A1RUURPQJ14A8X,4
33,AYJGJAIY0EXW,3
34,A1RUURPQJ14A8X,4
35,AP4903X7HCNBA,8
36,A20I3A6VWC2T5C,28
37,A3GCA0EZKHTJME,1
38,A20I3A6VWC2T5C,28
39,A2OW2CIT4H7364,13
40,ARYYSG1HT2UDX,14
41,A2HTN7HCNBQ8V4,4
42,AOBTFLJU2BEPR,9
43,A33B85TN97HQ33,17
44,A33B85TN97HQ33,17
45,A3542PB4Z0NE80,1
46,A37CE37LHUN8M6,11
47,A1ZGQC0J00M69W,7
48,A2UF2FRGVW4T89,10
49,A2CLSASUR08Z0O,3
50,A1ZGQC0J00M69W,7
51,A3LN9BVLOWLYER,1
52,A37CE37LHUN8M6,11
53,A3RS7UCO7CQ74R,5
54,A2CLSASUR08Z0O,3
55,AOBTFLJU2BEPR,9
